,ID,Review URL,Text,Star,Thumbs Up,User Name,Developer Reply,Version,Review Date,App ID
928,36577,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHK0JvW6q_wumavaJtOwZIMBhZbS2_N7-GE51ulzOLrj2qtWOl5pASKk5TD0P4D9NPdkrb-KofS9dzLRU4,Tak boleh update,1,0,Idola Makele,,87.0.4280.101,2020-12-27,com.android.chrome
937,36586,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOF9ehqE5U3ZVwOXEVcXfLJJaaA1o78-WL6WXGjY8_aNZsFRWueeBJTbrgyfzv_gigvg0tqbamILWkPdss4,Do not like many issues it was ok before but recentlyit just wont work properly I,1,0,misty eyes,,87.0.4280.101,2020-12-27,com.android.chrome
998,40301,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHHtloC48n2iYnHK15l1cq0vIMQSHeFSZbt03Pn4yxdpspFHuYLhd3rMfnFetDyk61IwQQqrALXzVavij8,Cool app,1,0,ALVAN IHESIABA,,63.0.3239.111,2020-12-29,com.android.chrome
1098,47434,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOE0htZcPYa8DF3Xv8dnqrvVx8K_G7zWfKwgvsOGUb2uagYIQ87UIRVvt7R--0E_xJYjnobFYEBvJXosro8,This is good app but Not update please help,1,0,SHIVRAJ PAWAR,,86.0.4240.198,2020-12-30,com.android.chrome
1113,47451,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEOU4yXXJYgAScylB68ooBGjz30wZdCSK7coF5GGydqhTRXPXUIYlBmL6PqFvbPM_xDtTTZLsaQKsr8J7I,Nice n fast,1,0,Roshan Krishna,,87.0.4280.101,2020-12-30,com.android.chrome
1138,47475,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHVhZePJCZiv1Rai6FqAKFX1H7xo_YZD4zgkzuXBV202ulqwr7vvdo6GE51ykv_9KahfkqrNBRtPhpAxtI,jelek,1,0,꧁ʀɪᴢᴀ ɴᴜʀ ꜰᴀɪᴢᴀ꧂,,55.0.2883.91,2020-12-29,com.android.chrome
1145,47483,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOE8VnGfLFdOF9jSh7lVGzrRV4r_7FpaIrWD7ODuKd2qaB4z0u01ti_ZhX55fuEwMNn9ST9HALT4_ItdKT8,Good,1,0,BALAJI INGALE,,87.0.4280.101,2020-12-29,com.android.chrome
1200,48234,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFbvfEomT41AbvqF05UY7MACemHpLpt39M5Z0duTC_fru8b5tktUXh9R4oeVOXqS6Rbw2Vp6oH8auPuvPQ,we yet,1,0,Daniel Lartey,,80.0.3987.99,2020-12-31,com.android.chrome
1243,48278,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEoI_davDf3rNkWQwMDjrYkQgWeL8YSQh_eG9SpB3kzOwhOuI4be-Qbjpik7xvS0ooUlHaM5ZQ9UdTQK_E,Chrome keeps closing,1,0,Edward Howell,,87.0.4280.101,2020-12-30,com.android.chrome
1250,48285,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHmaxUfVGmUt6zYuGx0aYTAbfwqEItSdjqQddvJx1ZxJXd9LPFk42ECbWCXuJiX5TprCBFweWkyI1FbBac,3yeats,1,0,sanjay desai,,70.0.3538.110,2020-12-30,com.android.chrome
1260,48297,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEKTMQgG8aulLHIFs64AV54jh8riL-X8-yWkvbAOnG-V1Nti_qCjNjV41o-51cGau9Pzexu8cL3VZ01kVU,Along try,1,0,Amjad Khan,,43.0.2357.93,2020-12-30,com.android.chrome
1261,48298,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGrVwUEEQpoLFjRJRN1dM3NVk8OoAPuFqJ3nxxm0pXxLtlUygBqZTxNFl6eDnMTE5tum22M7LQXYoASgpU,"Wont update, ever!",1,0,Paula Walter,,85.0.4183.101,2020-12-30,com.android.chrome
1310,57420,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGKBN3Awm8-kD5_4Cwiyab1P5JhbkeyyRM9vSNi5K51ytMJPLYYJbHiQrBbAMo-dAE1B2XD_23e_3chHF8,Wont update,1,0,Total Khaos,,86.0.4240.198,2021-01-01,com.android.chrome
1314,57424,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOE_0-8BYjJh1_iAD-1kuzS_R8DDA0IIxScKvDBxIIjh0zXgpHqZWY4t_SbbRH-LJXRDPk-waOWaZ5X46UA,Nice,1,0,Troy Pellew,,87.0.4280.101,2021-01-01,com.android.chrome
1326,57436,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOH98C3gWPkzeLyzD6ugRS7CiuLXxbRsGi2EthwNsN6pXgQML4u5Gj_AiPYZywtY4QSqDAWhYfOGA-Yslzk,Keep trying to update but wont update.,1,0,ian mcguire,,80.0.3987.99,2020-12-31,com.android.chrome
1374,57484,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHhA3EcRzNBMptW01RCdGq2ScaKBRcydJ8B4MjvPnATXJd4hb1ZjELQtzozcCLpEwPlZEpU4v6cNwFZOrg,"Still not allowing updates to this one app on Galaxy S20. Other apps update just fine... Come on Google, seriously? This is your very invasive OS, with your invasive permissions and applications, yet somehow you can't just update your browser program?",1,0,Robert Arp,,83.0.4103.106,2020-12-31,com.android.chrome
